,height,time
0,0,2009-01-03 10:15:05
1,1,2009-01-08 18:54:25
2,2,2009-01-08 18:55:44
3,3,2009-01-08 19:02:53
4,4,2009-01-08 19:16:28
5,5,2009-01-08 19:23:48
6,6,2009-01-08 19:29:49
7,7,2009-01-08 19:39:29
8,8,2009-01-08 19:45:43
9,9,2009-01-08 19:54:39
10,10,2009-01-08 20:05:52
11,11,2009-01-08 20:12:40
12,12,2009-01-08 20:21:28
13,13,2009-01-08 20:23:40
14,14,2009-01-08 20:33:09
15,15,2009-01-09 20:45:46
16,16,2009-01-09 20:45:58
17,17,2009-01-09 21:03:11
18,18,2009-01-09 21:12:14
19,19,2009-01-09 21:22:54
20,20,2009-01-09 21:39:55
21,21,2009-01-09 21:49:13
22,22,2009-01-09 22:04:27
23,23,2009-01-09 22:06:51
24,24,2009-01-09 22:17:57
25,25,2009-01-09 22:24:06
26,26,2009-01-09 22:54:10
27,27,2009-01-09 22:56:13
28,28,2009-01-10 07:30:57
29,29,2009-01-10 07:31:43
30,30,2009-01-10 07:42:02
31,31,2009-01-10 07:52:16
32,32,2009-01-10 07:59:31
33,33,2009-01-10 08:12:19
34,34,2009-01-10 08:18:58
35,35,2009-01-10 08:32:33
36,36,2009-01-10 08:43:09
37,37,2009-01-10 08:59:22
38,38,2009-01-10 09:11:28
39,39,2009-01-10 09:11:51
40,40,2009-01-10 09:23:28
41,41,2009-01-10 09:35:03
42,42,2009-01-10 09:39:13
43,43,2009-01-10 09:44:37
44,44,2009-01-10 09:59:21
45,45,2009-01-10 10:11:08
46,46,2009-01-10 10:23:13
47,47,2009-01-10 10:41:28
48,48,2009-01-10 10:45:40
49,49,2009-01-10 10:56:42
